id,score
3327965909,0
3327827366,0
3322585655,0
3320615862,0
3319579024,0
3308920887,0
3308705723,0
3308679197,0
3305139288,0
3299835913,0
3299807898,0
3284528503,0
3284152093,0
3284109383,0
3283116378,0
3282447599,0
3279015963,0
3278161930,0
3277818865,0
3274639945,0
3274096443,0
3272787732,0
3272067612,0
3272019588,0
3271713999,0
3270104072,0
3269444227,0
3268262839,0
3268097062,0
3268021411,0
3267678437,0
3267655015,0
3267194063,0
3265862868,0
3265288004,0
3264288125,0
3264282313,0
3263635703,0
3263467030,0
3259875731,0
3259049958,0
3255880882,0
3252514376,0
3251484197,0
